1,2,3,4,5
0.8357431,0.7975926,0.8844334,1.0819763,1.0184019
0.78532165,0.6853742,0.91883945,1.1285397,1.1324655
0.6623679,0.631803,0.77819306,1.2077272,1.3699341
0.6755795,1.0163397,1.2395781,0.9308599,1.0727696
0.7459203,0.5441424,0.78404546,0.85383373,1.0464284
0.84750587,0.9016432,0.7479966,0.89658606,0.74498004
0.8315576,0.8536662,1.0776932,0.9427648,1.1529354
0.6433195,0.8000179,0.7420348,0.712759,0.5940961
0.7533812,0.77722174,0.7856907,0.8700163,0.6867374
0.76271063,0.6623677,0.7062107,0.9037472,1.6054692
0.5731436,0.6882863,0.7511128,0.86409706,0.8791142
0.78927064,0.78209275,1.1179131,1.0536753,1.0550488
0.5538198,0.76556295,0.95303607,0.89538795,1.0080816
0.75886303,1.01361,1.2211009,0.917642,0.9344851
0.6975667,0.86034936,0.8890307,1.0192448,1.1199839
0.55084205,0.5851345,1.0710702,0.9721312,1.0059686
0.8071759,0.7445935,0.99442476,1.2986667,1.3017485
0.7584775,0.8877475,0.92402875,1.3221618,0.8370548
0.83348954,0.8839723,0.9518184,1.2224524,0.8843194
0.5943522,0.74361145,1.1179237,1.0530877,1.1541697
0.9622678,0.9227598,1.1563535,1.3540089,1.1653717
0.8802345,0.7658566,0.87538266,0.77397555,1.0672461
0.73188066,0.7072979,0.8463016,0.85237616,0.8798383
0.6619181,0.7145397,1.0629028,0.77766436,1.1076916
0.80139446,0.71841866,0.82087255,1.0380042,1.1679267
0.5735382,0.7331039,0.8496389,1.2248284,1.3488995
0.65092164,0.64532465,0.8399832,0.9773474,0.9278302
0.76789755,0.7489546,0.6799371,0.78161776,1.051767
0.5923513,0.5962193,0.8167307,1.0708599,0.87450397
0.70328397,0.7515841,0.71521723,0.95990455,0.93088686
0.5985876,0.62543285,0.7089106,0.9450139,0.7506426
0.7079805,0.8421913,0.90491194,0.9960722,1.0993103
0.8565417,0.82463056,0.87985444,1.4705694,1.3784568
0.5632376,0.6478632,0.9613446,0.8669433,1.2550325
0.91182464,0.77753973,0.9604658,0.9431013,1.1426365
0.7135034,0.8069218,1.0470899,1.0695652,1.2734443
0.49888864,0.7455357,0.7013484,0.8904365,1.4745423
0.6549076,0.67410755,1.0614059,1.1439054,1.3301852
0.670569,0.93904036,0.9871229,0.81828606,1.0866168
0.7432898,0.81281734,0.89673835,1.0076737,1.0597785
0.6385215,0.69209915,0.9820009,0.9633873,0.94561243
0.641437,0.6782969,0.8603509,0.93025863,1.2825689
0.9329992,1.0947093,1.2605286,0.79953945,1.1821584
0.4619389,0.86317563,0.73630625,1.2108676,0.8344011
0.85857886,0.9364296,1.0017115,1.5048643,1.2175983
0.741442,0.8590105,1.0569962,0.8590145,1.1374843
0.78907156,0.8830618,0.99973166,1.0102953,0.81060994
0.6088553,0.66615117,0.9542721,1.2635024,1.157992
0.7396334,0.9470711,0.8767767,1.1278595,0.90366745
0.6360658,0.65423006,0.7088597,1.1640878,1.333538
0.5580107,0.70191795,0.93717563,0.84362453,0.89862657
0.8227109,0.8143487,0.6953724,1.0491657,0.82045496
0.595387,0.77393746,0.7117083,0.83683926,1.0783195
0.6492506,0.6924655,0.81698585,1.0053492,1.0624707
0.7609405,0.77166206,0.814996,1.1191863,0.8738661
0.749068,0.8142065,0.7933346,0.98661906,0.9547171
0.6041773,0.661127,0.9800926,0.90418285,0.8787446
0.6155876,0.805736,1.162778,0.77292675,0.96725106
0.4964611,0.7453969,0.66086555,0.8401856,0.9109577
0.69843817,0.8075616,1.0763171,0.89365345,0.9105177
0.8948184,1.0241464,1.000355,1.097092,1.0903643
0.92589045,0.63213617,1.0401864,0.8530641,1.5919014
0.74274415,0.768362,0.88631743,1.0664233,1.2789044
0.5512569,0.6599658,0.8975871,1.1181132,1.0193591
0.7828219,0.8525542,1.1343386,0.800664,0.95217323
0.51709884,0.9395345,0.83998585,0.8690782,1.1602058
0.77971584,0.8167002,0.9763415,0.961241,1.1530576
0.71924496,0.8983876,0.99844474,0.904465,0.97942376
0.7950211,1.0057938,1.1303161,1.0265765,0.93595445
0.86339587,0.8609335,0.80563974,0.9369615,1.1587313
0.55971575,0.6801996,0.58350545,0.9261682,0.87148374
0.88061017,0.7988237,0.87649244,1.0431495,1.007219
0.8237678,1.0808613,0.8827946,1.0732634,1.0856762
0.8756958,0.79699033,0.85871774,1.2889053,1.0508001
0.6539252,0.83319086,1.2805713,1.0027817,0.8396164
0.72727,0.9754748,0.89285475,0.7988585,1.1361982
0.78158647,0.79352385,0.9539433,1.1443923,1.2377319
0.47783047,0.74362826,0.73466766,1.2189206,1.0790697
0.5024089,0.5186168,0.8993745,1.099357,0.93714136
0.7301471,0.858434,0.74452436,0.81407124,0.79204947
1.0286847,0.73954064,1.12217,1.0905395,1.2153103
0.8010775,0.87729394,0.64333916,0.91142935,1.2759966
0.74959844,0.9316307,0.83010155,0.9870511,1.2354428
0.81619644,0.67141676,0.78181803,0.95770955,1.2047491
0.6879462,1.00436,0.9876045,1.2329053,1.0295955
0.5583131,0.66946834,0.693253,1.1728189,1.0976305
0.7361477,0.92644054,1.0130922,0.9828394,1.4526948
0.66392857,0.85223037,1.2352802,1.4797124,1.0027311
0.6404161,1.1997759,0.8327166,0.9025203,0.9089087
0.63243777,0.91710454,0.95587784,0.9676535,1.3127524
0.8861516,0.70477515,0.93304276,1.1432054,1.1605768
0.6697174,0.8503121,0.9757044,1.0877151,1.3922178
0.56631005,0.70307404,0.80258393,0.86424804,0.9053185
0.92923397,1.0429884,0.800526,0.89336467,0.77776295
0.75140727,0.92236096,1.039252,1.2294037,1.1002599
0.82329154,1.0838081,1.2874886,0.88583875,1.2152362
0.8080033,0.7888288,0.9159002,0.9813738,1.177812
0.7338827,0.7237732,0.7555887,0.7740074,1.0506982
0.8907691,0.9763182,0.8928709,1.009781,1.2819979
0.53818053,0.508289,0.7624408,0.6694136,0.8154677
